row_name,logConc,logFC,pVal.Tgw,adj.pVal.Tgw,Tgw.Disp,UpDown.Tgw,B29,B30,B31,B32,LO2,LO3,LO4,LO5
gene2047,-3.052599952,7.798812319,1.18E-27,3.11E-26,0.056882516,-1,4038,1319,2454,13628,40,47,55,31
gene2789,-2.680693559,7.438884021,1.18E-27,3.11E-26,0.043315327,-1,3040,934,2146,9579,53,35,53,32
gene660,3.94352876,12.50552668,1.75E-27,4.56E-26,0.099292577,1,9786,2519,5325,13216,11700,12793,10674,4803
gene1906,-2.667761441,7.820984032,2.44E-27,6.34E-26,0.045782847,-1,4964,1182,2558,11387.59,86,36,74,39
gene3398,3.626175403,10.9409668,2.50E-27,6.44E-26,0.086907142,1,2467,1316,2372,6442,5847,2728,4455,1524
gene2823,3.248992326,9.980752143,3.75E-27,9.54E-26,0.072586529,1,2220,647,1747,3855,2738,1229,2485,884
gene1863,3.422831904,6.587473668,3.75E-27,9.54E-26,0.074423066,1,224,44,124,501,272,91,254,109
gene3721,-3.91601721,6.895090883,3.78E-27,9.56E-26,0.080110163,-1,2748,582,1593,6532,10,16,12,13
gene2074,4.306295075,10.00843103,5.46E-27,1.37E-25,0.116502683,1,1968,224,709,1672,3647,1099,2181,1007
gene2647,3.621824083,12.08719964,5.72E-27,1.43E-25,0.088088067,1,5589,1902,7019,16417,13369,4813,11548,3408
gene2332,2.784197234,9.047503563,6.43E-27,1.59E-25,0.055672611,1,1360,414,1187,3739,1255,712,999,562
gene3983,3.186095393,7.847890118,9.10E-27,2.24E-25,0.069485789,1,521,121,358,1536,732,198,633,190
gene1010,3.689412712,7.19158252,9.37E-27,2.29E-25,0.087921608,1,235,52,198,634,559,130,322,131
gene2249,-3.172101476,8.365633858,9.40E-27,2.29E-25,0.066652615,-1,6949,2467,3661,13463,62,49,108,35
gene1497,4.409525202,8.365808333,1.18E-26,2.84E-25,0.120623409,1,332,65,323,748,1320,203,832,325
gene2627,3.493402685,10.1146658,1.21E-26,2.90E-25,0.083838569,1,2367,612,1094,5197,3431,1268,3147,694
gene803,2.805533038,8.488412241,1.32E-26,3.15E-25,0.05691808,1,1176,274,590,2737,604,473,1040,352
gene1818,3.367367941,8.611867835,1.47E-26,3.48E-25,0.077865169,1,580,211,649,2133,1143,472,1073,270
gene2568,-4.174435286,6.643663785,1.97E-26,4.64E-25,0.091493229,-1,2258,597,1041,5983,4,7,18,9
gene1400,2.760104362,7.831161545,2.11E-26,4.94E-25,0.054383498,1,762,178,483,1415,430,226,657,265
gene1173,-3.910709395,6.413076013,2.31E-26,5.38E-25,0.078596544,-1,1873,423,1252,4198,7,9,14,8
gene1133,-2.613328028,7.365654805,2.67E-26,6.16E-25,0.044042155,-1,3163,813,1847,9753,52,30,66,28
gene3853,3.1620032,11.43334538,2.68E-26,6.16E-25,0.07189526,1,7981,1660,3948,13618.01,5100,5092,5818,2508
gene2696,-4.081426968,6.730837711,2.76E-26,6.32E-25,0.087307314,-1,2110,612,1334,6286,5,11,13,12
gene2060,3.969171102,11.64129777,2.99E-26,6.80E-25,0.105346984,1,7857,912,2535,6191,8602,3797,8410,3172
gene3502,3.820692772,8.927997779,3.74E-26,8.44E-25,0.097980739,1,394,248,666,1612,1331,390,1189,682
gene4013,-2.68711215,7.215402545,4.10E-26,9.21E-25,0.045555774,-1,2797,764,1921,7615,44,30,48,26
gene2296,-2.881701615,8.595676447,5.78E-26,1.29E-24,0.059484664,-1,7417,2347,4473,20775,106,47,160,54
gene423,-3.153000313,6.89867979,7.15E-26,1.59E-24,0.059528145,-1,2168,651,1531,6762,30,14,24,20
gene2339,3.025971092,11.00791738,8.25E-26,1.82E-24,0.067932158,1,5903.87,1422,3532.41,10354.46,3680,3520,4780,1866
gene623,-2.799245353,7.039162049,8.70E-26,1.91E-24,0.048926223,-1,2688,690,1568,6790,32,26,43,21
gene1651,2.707908548,9.643466289,8.77E-26,1.91E-24,0.055728394,1,2398,630,1364,7671,1377,1088,1834,923
gene3401,4.216816994,10.27190723,9.15E-26,1.99E-24,0.118369283,1,1939,308,1004,2983,5374,1087,2438,963
gene3212,2.673107103,8.655086361,9.41E-26,2.03E-24,0.054072159,1,1262,322,970,2789,894,494,962,391
gene3984,3.610454779,11.12995192,1.26E-25,2.70E-24,0.092471648,1,4757,1042,2062,9847,4720,4992,3625,1768
gene4024,-3.027619863,7.075018192,1.59E-25,3.39E-24,0.057648713,-1,3060,740,1398,7236,36,16,31,25
gene52,-4.056803479,7.041219605,1.65E-25,3.50E-24,0.098861004,-1,3095.5,877.57,1516.22,6229.25,6.18,11,34.38,6
gene1772,-3.522541115,6.848646622,1.83E-25,3.87E-24,0.073886096,-1,2491,639,989,7998,14,15,25,13
gene469,2.98475412,8.472617281,1.93E-25,4.05E-24,0.066693417,1,1170,244,507,2147,1055,356,856,315
gene2145,2.757642474,7.382999125,1.94E-25,4.05E-24,0.05578002,1,402,136,333,1522,463,190,398,138
gene3202,-3.112561152,7.280338674,3.14E-25,6.52E-24,0.062200989,-1,3743,782,1858,7663,36,28,24,26
gene2628,3.253602135,9.115241255,3.19E-25,6.58E-24,0.078485495,1,717,365,938,3455,1243,862,1466,412
gene1781,-4.118161529,6.445563815,3.62E-25,7.44E-24,0.092052984,-1,2446,315,1081,5050,12,6,8,8
gene946,3.054829082,9.23769777,4.04E-25,8.25E-24,0.070798385,1,1643,343,1025,3812,844,1086,1309,682
gene3301,4.071598573,8.643532444,4.12E-25,8.37E-24,0.113503792,1,208,146,435,1694,1423,449,873,347
gene3940,3.619287695,10.44784988,4.26E-25,8.60E-24,0.094827033,1,2387,774,1483,5482,1577,2904,3063,1615
gene1046,3.189708607,9.818177944,4.28E-25,8.60E-24,0.076474913,1,2392,554,1576,3325,2401,1010,2395,792
gene924,3.338768182,9.272557291,4.65E-25,9.30E-24,0.082668095,1,1550,393,739,2533,2048,527,1572,543
gene28,-2.68426287,7.535332566,4.83E-25,9.62E-24,0.050345304,-1,4328,930,2252,8335,54,26,79,33
gene2403,3.3395658,9.257674848,6.06E-25,1.20E-23,0.083182486,1,1116,286,1121,2954,878,1162,1513,591
gene1691,-3.031676143,7.04285069,8.58E-25,1.69E-23,0.06085145,-1,3034,744,1092,8006,40,19,35,15
gene833,3.089624727,9.279193537,8.68E-25,1.70E-23,0.073318103,1,1855,284,1018,3962,1107,1067,1600,508
gene186,3.291757271,11.49835452,8.73E-25,1.70E-23,0.082036148,1,8621,1465,4402,9420,5982,4608,6517,2830
gene2826,-2.922499184,7.351939617,9.23E-25,1.79E-23,0.05736909,-1,3308,1044,1778,7870,32,37,43,25
gene2513,-2.407217499,7.52399514,1.23E-24,2.37E-23,0.041299226,-1,3527,921,2068,10019,73,36,76,37
gene3948,-3.58766146,6.433651184,1.32E-24,2.54E-23,0.078724815,-1,1757,501,998,4936,21,5,19,6
gene3861,-3.020315683,6.888625421,1.34E-24,2.55E-23,0.059343658,-1,1883,643,1563,7093,37,18,27,15
gene3883,-4.230369035,6.234335341,1.43E-24,2.72E-23,0.094844126,-1,1212,367,1226,4548,7,5,8,7
gene1472,-2.691404219,7.349778802,1.47E-24,2.79E-23,0.050816533,-1,3283,781,1975,9058,39,27,74,27
gene397,2.7306791,8.901292496,1.69E-24,3.17E-23,0.059509877,1,1113,361,930,4925,844,719,1130,474
gene3146,3.373996376,7.853368733,2.04E-24,3.83E-23,0.084628604,1,530,125,332,984,700,140,681,252
gene812,2.822257057,8.04863012,2.07E-24,3.86E-23,0.062255459,1,1048,158,401,2033,462,404,515,330
